Designator,Mid X,Mid Y,Rotation,Layer
C1,57.615,-53.4,180.0,top
C10,58.39,-62.036,180.0,top
C11,58.39,-58.48,180.0,top
C12,55.85,-61.02,270.0,top
C13,81.985,-46.4572,270.0,top
C14,77.54,-48.9972,180.0,top
C15,69.2404,-68.072,90.0,top
C16,67.564,-68.072,90.0,top
C17,59.66,-45.78,90.0,top
C18,66.01,-50.86,180.0,top
C19,69.82,-50.86,0.0,top
C2,54.58,-55.445,270.0,top
C20,74.3204,-49.784,0.0,top
C21,86.8939,-64.2275,270.0,top
C22,88.7989,-65.8785,0.0,top
C23,61.0925,-65.12,0.0,top
C24,81.026,-72.136,0.0,top
C25,83.566,-71.12,270.0,top
C26,69.218,-71.745,180.0,top
C27,83.315,-73.66,180.0,top
C28,78.867,-76.441,270.0,top
C29,90.805,-64.135,90.0,top
C3,76.962,-76.441,270.0,top
C30,72.39,-59.69,90.0,top
C31,62.865,-75.565,270.0,top
C32,77.47,-80.645,90.0,top
C33,56.515,-74.93,90.0,top
C34,70.485,-80.645,90.0,top
C35,87.0712,-86.36,90.0,top
C36,70.485,-59.69,90.0,top
C37,58.885,-79.88,90.0,top
C38,63.135,-79.88,90.0,top
C39,63.74,-93.955,270.0,top
C4,75.057,-76.441,270.0,top
C40,56.12,-92.05,90.0,top
C41,79.69,-88.265,0.0,top
C42,80.01,-90.805,0.0,top
C43,78.105,-93.485,90.0,top
C44,78.74,-96.52,0.0,top
C45,74.93,-96.52,270.0,top
C46,75.425,-99.695,0.0,top
C47,72.29,-94.28,90.0,top
C48,79.69,-100.33,0.0,top
C49,75.07,-59.309,180.0,top
C5,80.775,-67.31,0.0,top
C50,73.66,-86.36,0.0,top
C51,74.93,-88.9,90.0,top
C6,80.775,-65.405,0.0,top
C7,68.58,-49.276,0.0,top
C8,71.09,-53.4,90.0,top
C9,58.39,-60.258,180.0,top
D1,82.68,-75.565,0.0,top
D2,89.7262,-88.35,0.0,top
D3,84.5312,-86.36,90.0,top
FB1,58.39,-50.86,90.0,top
FB2,55.3675,-58.48,0.0,top
FB3,62.2,-45.78,90.0,top
IC1,77.47,-42.3672,270.0,top
IC2,88.646,-72.39,90.0,top
J1,67.945,-36.8966,180.0,top
J2,44.47,-69.85,0.0,top
L1,87.884,-101.6,0.0,top
M1,45.72,-44.45,0.0,top
M2,45.74,-96.52,0.0,top
M3,107.95,-88.9,0.0,top
M4,107.95,-52.07,0.0,top
Q1,93.0783,-54.356,90.0,top
Q2,93.0783,-41.91,90.0,top
Q3,112.156999,-69.4182,180.0,top
Q4,101.9302,-70.612,270.0,top
R1,66.805,-73.155,90.0,top
R10,94.361,-65.278,0.0,top
R11,87.5289,-80.2925,90.0,top
R12,53.5025,-65.915,90.0,top
R13,90.0689,-80.2925,90.0,top
R14,81.28,-70.612,180.0,top
R15,94.361,-67.945,0.0,top
R16,85.8012,-88.9,0.0,top
R17,69.215,-64.135,90.0,top
R18,61.2,-93.955,270.0,top
R19,58.66,-93.955,270.0,top
R2,86.7664,-48.2854,0.0,top
R20,76.835,-88.9,270.0,top
R21,74.93,-55.499,180.0,top
R22,86.741,-56.5272,90.0,top
R23,70.295,-91.44,180.0,top
R24,71.755,-96.52,180.0,top
R25,74.93,-57.404,180.0,top
R26,85.725,-60.579,0.0,top
R27,70.28,-94.24,180.0,top
R28,73.025,-88.9,90.0,top
R29,67.31,-93.345,270.0,top
R3,72.3514,-42.0624,0.0,top
R30,70.485,-100.775,270.0,top
R31,62.865,-98.425,0.0,top
R34,62.23,-100.965,90.0,top
R35,64.135,-100.965,90.0,top
R36,62.865,-103.639,0.0,top
R4,72.3514,-45.2374,0.0,top
R5,86.106,-36.068,0.0,top
R6,57.945,-55.94,180.0,top
R7,53.31,-61.465,90.0,top
R8,61.0925,-67.66,0.0,top
R9,56.8375,-70.2,0.0,top
U1,74.995,-69.915,90.0,top
U10,81.28,-56.134,90.0,top
U2,64.71,-57.21,90.0,top
U3,57.15,-66.07,180.0,top
U4,76.2,-63.5,180.0,top
U5,71.565,-62.865,0.0,top
U6,59.69,-75.565,180.0,top
U7,73.66,-81.28,180.0,top
U8,60.96,-87.63,270.0,top
U9,74.93,-92.71,0.0,top
